ID,RED,IR,RED 4xS,IR 4xS
825,230008,242431,,
826,229879,242473,,
827,229758,242428,,
828,229895,242423,,
829,230170,242667,,
830,230149,242891,,
,229962,242880,,
,230093,242632,,
,230330,242937,,
,230287,243077,,
,230253,243159,,
,230201,243160,,
,229970,242982,,
,229802,242534,,
,229771,242157,,
,229529,242012,,
,229301,241718,,
,229069,241552,,
,229220,241470,,
,229360,241699,,
,229640,241911,,
,229645,241980,,
,229469,241912,,
,229196,241635,,
,229436,241707,,
,229623,242102,,
,229762,242332,,
,229503,242113,,
,229517,241951,,
,229751,242379,,
,229738,242489,,
,229665,242415,,
,229600,242326,,
,229725,242384,,
,229889,242602,,
,229795,242784,,
,229763,242644,,
,229789,242764,,
,229955,242862,,
,230069,243041,,
,229649,242552,,
,229335,242046,,
,229265,241740,,
,229087,241588,,
,228889,241401,,
,228962,241452,,
,229103,241506,,
,229133,241536,,
,228964,241573,,
,228982,241530,,
,229231,241761,,
,229261,241980,,
,229340,242042,,
,229491,242159,,
,229411,242269,,
,229409,242239,,
,229471,242433,,
,229545,242394,,
,229607,242427,,
,229660,242627,,
,229595,242576,,
,229564,242645,,
,229668,242694,,
,229791,242792,,
,229977,242829,,
,229931,243165,,
,229805,243117,,
,229875,243020,,
,229613,242594,,
,229279,242197,,
,229024,241749,,
,229064,241655,,
,228996,241656,,
,228787,241611,,
,228688,241476,,
,228873,241450,,
,229051,241653,,
,229236,241902,,
,229081,241981,,
,229036,241945,,
,229173,242025,,
,229323,242107,,
,229558,242367,,
,229495,242529,,
,229425,242524,,
,229323,242385,,
,229358,242217,,
,229613,242480,,
,229690,242744,,
,229635,242814,,
,229517,242700,,
,229369,242518,,
,229613,242516,,
,229718,242989,,
,229737,242981,,
,229461,242507,,
,228923,241888,,
,228925,241479,,
,228926,241607,,
,228684,241381,,
,228586,241134,,
,228777,241404,,
,228756,241464,,
,228617,241361,,
,228570,241199,,
,228730,241316,,
,228883,241744,,
,228808,241710,,
,228844,241630,,
,229018,241909,,
,229037,241854,,
,228893,241826,,
,228812,241752,,
,229099,241875,,
,229121,241967,,
,229118,242066,,
,229092,242130,,
,229025,242166,,
,229079,242107,,
,229145,242355,,
,229250,242376,,
,229299,242403,,
,228999,242118,,
,228718,241584,,
,228343,241079,,
,228131,240823,,
,228026,240695,,
,228130,240682,,
,228200,240757,,
,228146,240837,,
,228145,240839,,
,228166,240827,,
,228199,240766,,
,228196,240951,,
,228364,241149,,
,228403,241181,,
,228264,241281,,
,228352,241309,,
,228500,241404,,
,228619,241657,,
,228729,241766,,
,228730,241716,,
,228580,241728,,
,228752,241662,,
,229079,241858,,
,229103,242241,,
,228959,242187,,
,228940,242095,,
,229066,242093,,
,229195,242183,,
,229094,241995,,
,228640,241469,,
,228071,240861,,
,227775,240252,,
,227831,240244,,
,227947,240237,,
,227896,240369,,
,227689,240151,,
,227512,239883,,
,227641,239920,,
,227971,240305,,
,227894,240469,,
,227751,240285,,
,227747,240139,,
,227838,240321,,
,228015,240540,,
,227874,240597,,
,227712,240468,,
,227917,240566,,
,228149,240717,,
,228042,240844,,
,227913,240778,,
,228097,240790,,
,228262,241071,,
,228234,241184,,
,228195,241203,,
,228331,241214,,
,228403,241329,,
